Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
MANGELONFX00000000000000000000000002172714,GB,Vestel MB110/115 Smart TV,Vestel MB110/115 Smart TV,109.153.232.13,Cambridgeshire,2018-01-27T10:07:10.947Z
MANGELONFX00000000000000000000000002172714,GB,Vestel MB110/115 Smart TV,Vestel MB110/115 Smart TV,109.153.232.13,Cambridgeshire,2018-01-14T13:03:06.223Z
MANGELONFX00000000000000000000000002172714,GB,Vestel MB110/115 Smart TV,Vestel MB110/115 Smart TV,86.169.229.243,Hertfordshire,2018-01-10T18:17:13.622Z
MANGELONFX00000000000000000000000002172714,GB,Vestel MB110/115 Smart TV,Vestel MB110/115 Smart TV,86.169.229.243,Hertfordshire,2018-01-01T14:33:16.745Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.151.26.231,Hertfordshire,2017-12-17T21:23:58.525Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.144.158.17,Hertfordshire,2017-12-14T20:18:46.279Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.144.158.17,Hertfordshire,2017-12-07T19:36:04.302Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.245.44,North Yorkshire,2017-12-04T19:57:12.613Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.245.44,North Yorkshire,2017-12-02T19:12:25.743Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.118.98,North Yorkshire,2017-11-25T19:42:18.671Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.118.98,North Yorkshire,2017-11-18T17:57:02.557Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.232.5,Cambridgeshire,2017-11-12T19:51:23.459Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.232.5,Cambridgeshire,2017-11-08T18:23:25.084Z
